num processes,multi-tile strategy,single-image strategy,tiles x,tiles y,width,height,transparent,interlacing,collection,max image split,frame,render time,buffer read time,buffer write time,compress time,blend time,draw time,composite time,collect time,bytes sent,frame time
8192,Sequential,radix-k 2,1,1,2048,2048,yes,yes,yes,512,80,0.036179,0,0,0.000475,0.000283,0.124687,0.088517,0.07899,1776286440,0.125838
8192,Sequential,radix-k 2,1,1,2048,2048,yes,yes,yes,512,81,0.037163,0,0,0.000489,0.000436,0.094515,0.05736,0.046393,1890214656,0.095666
8192,Sequential,radix-k 2,1,1,2048,2048,yes,yes,yes,512,82,0.031147,0,0,0.000464,0.000246,0.123836,0.092699,0.083259,1764284552,0.124982
8192,Sequential,radix-k 2,1,1,2048,2048,yes,yes,yes,512,83,0.032923,0,0,0.000482,0.000141,0.111062,0.078148,0.069536,1524984576,0.112208
8192,Sequential,radix-k 2,1,1,2048,2048,yes,yes,yes,512,84,0.029522,0,0,0.000472,0.000521,0.085545,0.056033,0.045549,1796723560,0.086692
8192,Sequential,radix-k 2,1,1,2048,2048,yes,yes,yes,512,85,0.029938,0,0,0.000478,0.000503,0.089446,0.059516,0.048151,1722340728,0.090594
8192,Sequential,radix-k 2,1,1,2048,2048,yes,yes,yes,512,86,0.030848,0,0,0.000487,0.000462,0.087479,0.05664,0.045402,1862200176,0.088626
8192,Sequential,radix-k 2,1,1,2048,2048,yes,yes,yes,512,87,0.034936,0,0,0.000476,0.000173,0.113454,0.078527,0.069295,1696651792,0.114601
8192,Sequential,radix-k 2,1,1,2048,2048,yes,yes,yes,512,88,0.026326,0,0,0.000491,0.000231,0.081983,0.055666,0.046447,1296705256,0.083131
8192,Sequential,radix-k 2,1,1,2048,2048,yes,yes,yes,512,89,0.035935,0,0,0.000489,0.000339,0.09293,0.057005,0.046029,1854190816,0.094078
8192,Sequential,radix-k 2,1,1,2048,2048,yes,yes,yes,512,90,0.038511,0,0,0.000484,0.000395,0.131827,0.093326,0.083253,1910806976,0.132974
8192,Sequential,radix-k 2,1,1,2048,2048,yes,yes,yes,512,91,0.031596,0,0,0.000467,0.000238,0.120738,0.089151,0.079897,1811235712,0.121888
8192,Sequential,radix-k 2,1,1,2048,2048,yes,yes,yes,512,92,0.030963,0,0,0.000464,0.000365,0.090814,0.059862,0.049308,1606720048,0.09196
8192,Sequential,radix-k 2,1,1,2048,2048,yes,yes,yes,512,93,0.034354,0,0,0.000469,0.000246,0.122025,0.087682,0.078592,1710066592,0.123172
8192,Sequential,radix-k 2,1,1,2048,2048,yes,yes,yes,512,94,0.039811,0,0,0.000476,0.000269,0.096382,0.056582,0.045804,1767750176,0.097527
8192,Sequential,radix-k 2,1,1,2048,2048,yes,yes,yes,512,95,0.017777,0,0,0.00047,0.000493,0.107355,0.089587,0.080348,1416681368,0.108504
8192,Sequential,radix-k 2,1,1,2048,2048,yes,yes,yes,512,96,0.027926,0,0,0.000476,0.000506,0.084026,0.056108,0.045306,1719696600,0.085172
8192,Sequential,radix-k 2,1,1,2048,2048,yes,yes,yes,512,97,0.027203,0,0,0.00049,0.000193,0.082623,0.05543,0.045531,1332725488,0.083772
8192,Sequential,radix-k 2,1,1,2048,2048,yes,yes,yes,512,98,0.033355,0,0,0.000475,0.000169,0.1132,0.079854,0.070109,1895842200,0.114348
8192,Sequential,radix-k 2,1,1,2048,2048,yes,yes,yes,512,99,0.029176,0,0,0.00048,0.000507,0.09296,0.063795,0.052621,1737801728,0.094107
8192,Sequential,radix-k 2,1,1,2048,2048,yes,yes,yes,512,100,0.040337,0,0,0.00048,0.000212,0.117551,0.077226,0.067096,1791779440,0.118702
