num processes,multi-tile strategy,single-image strategy,tiles x,tiles y,width,height,transparent,interlacing,collection,max image split,frame,render time,buffer read time,buffer write time,compress time,blend time,draw time,composite time,collect time,bytes sent,frame time,Intrepid Mode
4096,Sequential,radix-k 2,1,1,1024,1024,yes,yes,yes,256,65,0.010044,0,0,0.000245,9e-05,0.033862,0.023826,0.018152,339246784,0.0344,SMP
4096,Sequential,radix-k 2,1,1,1024,1024,yes,yes,yes,256,66,0.010366,0,0,0.000243,0.000102,0.026938,0.01658,0.010897,231739536,0.027474,SMP
4096,Sequential,radix-k 2,1,1,1024,1024,yes,yes,yes,256,67,0.010341,0,0,0.000248,0.00026,0.033852,0.02352,0.017613,351507576,0.03439,SMP
4096,Sequential,radix-k 2,1,1,1024,1024,yes,yes,yes,256,68,0.011479,0,0,0.000244,0.000134,0.0277,0.016229,0.010229,282857232,0.028238,SMP
4096,Sequential,radix-k 2,1,1,1024,1024,yes,yes,yes,256,69,0.011526,0,0,0.000253,0.000268,0.032623,0.021104,0.015096,332601440,0.033161,SMP
4096,Sequential,radix-k 2,1,1,1024,1024,yes,yes,yes,256,70,0.011548,0,0,0.000241,0.000148,0.028499,0.016959,0.01107,324739264,0.029035,SMP
4096,Sequential,radix-k 2,1,1,1024,1024,yes,yes,yes,256,71,0.008942,0,0,0.000243,0.00026,0.033217,0.024282,0.018477,355506528,0.033753,SMP
4096,Sequential,radix-k 2,1,1,1024,1024,yes,yes,yes,256,72,0.009308,0,0,0.000247,0.000262,0.026022,0.016723,0.010601,335755288,0.026559,SMP
4096,Sequential,radix-k 2,1,1,1024,1024,yes,yes,yes,256,73,0.010782,0,0,0.000248,9.5e-05,0.027057,0.016283,0.010381,297990360,0.027594,SMP
4096,Sequential,radix-k 2,1,1,1024,1024,yes,yes,yes,256,74,0.013849,0,0,0.000246,0.000156,0.030356,0.016515,0.010261,372340464,0.030894,SMP
4096,Sequential,radix-k 2,1,1,1024,1024,yes,yes,yes,256,75,0.014083,0,0,0.000243,0.000212,0.035821,0.021746,0.015674,343840048,0.036357,SMP
4096,Sequential,radix-k 2,1,1,1024,1024,yes,yes,yes,256,76,0.013388,0,0,0.000244,0.000169,0.030966,0.017585,0.011568,354236352,0.031504,SMP
4096,Sequential,radix-k 2,1,1,1024,1024,yes,yes,yes,256,77,0.010585,0,0,0.000252,0.000115,0.027594,0.017017,0.011325,247208096,0.028133,SMP
4096,Sequential,radix-k 2,1,1,1024,1024,yes,yes,yes,256,78,0.010099,0,0,0.000243,0.000108,0.031795,0.021704,0.015863,366477384,0.032332,SMP
4096,Sequential,radix-k 2,1,1,1024,1024,yes,yes,yes,256,79,0.010638,0,0,0.000243,0.000266,0.034459,0.023829,0.017677,368951584,0.034997,SMP
4096,Sequential,radix-k 2,1,1,1024,1024,yes,yes,yes,256,80,0.013477,0,0,0.000246,0.000153,0.0372,0.023731,0.017875,350485528,0.037737,SMP
4096,Sequential,radix-k 2,1,1,1024,1024,yes,yes,yes,256,81,0.013422,0,0,0.000252,0.000228,0.030069,0.016655,0.010399,372131880,0.030607,SMP
4096,Sequential,radix-k 2,1,1,1024,1024,yes,yes,yes,256,82,0.012507,0,0,0.00024,0.000134,0.037365,0.024866,0.018765,348050888,0.037901,SMP
4096,Sequential,radix-k 2,1,1,1024,1024,yes,yes,yes,256,83,0.012781,0,0,0.000249,8.2e-05,0.034194,0.02142,0.015564,297192704,0.034729,SMP
4096,Sequential,radix-k 2,1,1,1024,1024,yes,yes,yes,256,84,0.010988,0,0,0.000244,0.000271,0.028223,0.017243,0.011082,352369784,0.02876,SMP
4096,Sequential,radix-k 2,1,1,1024,1024,yes,yes,yes,256,85,0.012137,0,0,0.000247,0.000263,0.029827,0.017699,0.011852,343126080,0.030366,SMP
