num processes,multi-tile strategy,single-image strategy,tiles x,tiles y,interlacing,collection,frame,render time,buffer read time,buffer write time,compress time,blend time,draw time,composite time,collect time,bytes sent,frame time,IceT Version
2048,Sequential,radix-k 2,1,1,no,no,65,0.075624,0,0,0.000163,0.000303,0.127537,0.051915,0,1060622820,0.127905,Original
2048,Sequential,radix-k 2,1,1,no,no,66,0.051471,0,0,0.000164,0.000196,0.092437,0.040969,0,665030060,0.092801,Original
2048,Sequential,radix-k 2,1,1,no,no,67,0.079579,0,0,0.00016,0.000303,0.140628,0.061051,0,1098246520,0.140993,Original
2048,Sequential,radix-k 2,1,1,no,no,68,0.06112,0,0,0.000169,0.000257,0.107052,0.045934,0,837769180,0.107417,Original
2048,Sequential,radix-k 2,1,1,no,no,69,0.088561,0,0,0.000166,0.000273,0.145423,0.056865,0,1024358436,0.145787,Original
2048,Sequential,radix-k 2,1,1,no,no,70,0.090516,0,0,0.00017,0.000262,0.140785,0.050272,0,1011936480,0.141149,Original
2048,Sequential,radix-k 2,1,1,no,no,71,0.06099,0,0,0.000155,0.000291,0.117448,0.05646,0,1123180592,0.117814,Original
2048,Sequential,radix-k 2,1,1,no,no,72,0.072362,0,0,0.000158,0.000299,0.129948,0.057588,0,1047841224,0.130315,Original
2048,Sequential,radix-k 2,1,1,no,no,73,0.058792,0,0,0.000159,0.00031,0.108667,0.049878,0,896202988,0.109029,Original
2048,Sequential,radix-k 2,1,1,no,no,74,0.105124,0,0,0.00017,0.000317,0.16808,0.062959,0,1164980532,0.16845,Original
2048,Sequential,radix-k 2,1,1,no,no,75,0.079653,0,0,0.000177,0.000284,0.139351,0.059699,0,1052388652,0.139715,Original
2048,Sequential,radix-k 2,1,1,no,no,76,0.100163,0,0,0.000178,0.000292,0.157769,0.05761,0,1094692560,0.158133,Original
2048,Sequential,radix-k 2,1,1,no,no,77,0.051243,0,0,0.000163,0.000212,0.095458,0.044217,0,714735132,0.095826,Original
2048,Sequential,radix-k 2,1,1,no,no,78,0.07204,0,0,0.000167,0.000295,0.127283,0.055245,0,1134115568,0.127648,Original
2048,Sequential,radix-k 2,1,1,no,no,79,0.076,0,0,0.000167,0.000304,0.137397,0.0614,0,1154276112,0.137764,Original
2048,Sequential,radix-k 2,1,1,no,no,80,0.104842,0,0,0.000176,0.000297,0.159609,0.054769,0,1093167488,0.159977,Original
2048,Sequential,radix-k 2,1,1,no,no,81,0.100229,0,0,0.000168,0.000347,0.164979,0.064752,0,1166421436,0.165346,Original
