num processes,multi-tile strategy,single-image strategy,tiles x,tiles y,interlacing,collection,frame,render time,buffer read time,buffer write time,compress time,blend time,draw time,composite time,collect time,bytes sent,frame time
64,Sequential,radix-k 2,1,1,yes,no,62,0.721265,0,0,0.004851,0.006445,0.827689,0.106427,0,306496504,0.827848
64,Sequential,radix-k 2,1,1,yes,no,63,0.762446,0,0,0.004962,0.005355,0.858711,0.096268,0,270553032,0.858869
64,Sequential,radix-k 2,1,1,yes,no,64,0.438062,0,0,0.004422,0.00713,0.51748,0.079421,0,250458936,0.517636
64,Sequential,radix-k 2,1,1,yes,no,65,0.565948,0,0,0.004664,0.006964,0.654098,0.088153,0,261786192,0.654256
64,Sequential,radix-k 2,1,1,yes,no,66,0.593558,0,0,0.004698,0.001476,0.664666,0.071111,0,187636944,0.664821
64,Sequential,radix-k 2,1,1,yes,no,67,0.593992,0,0,0.004577,0.007897,0.692042,0.098052,0,288807560,0.692198
64,Sequential,radix-k 2,1,1,yes,no,68,0.659228,0,0,0.004835,0.003848,0.741784,0.08256,0,213363312,0.741941
64,Sequential,radix-k 2,1,1,yes,no,69,0.660124,0,0,0.004736,0.005512,0.754667,0.094546,0,243418432,0.754823
64,Sequential,radix-k 2,1,1,yes,no,70,0.666247,0,0,0.004835,0.00419,0.756694,0.090447,0,259611040,0.756851
64,Sequential,radix-k 2,1,1,yes,no,71,0.498834,0,0,0.004474,0.007294,0.594197,0.095368,0,255605976,0.594354
64,Sequential,radix-k 2,1,1,yes,no,72,0.53758,0,0,0.004505,0.007907,0.629015,0.091435,0,250857088,0.629172
64,Sequential,radix-k 2,1,1,yes,no,73,0.623821,0,0,0.00453,0.00818,0.712587,0.088769,0,217921576,0.712779
64,Sequential,radix-k 2,1,1,yes,no,74,0.796204,0,0,0.004849,0.006999,0.904496,0.108296,0,302858784,0.904656
64,Sequential,radix-k 2,1,1,yes,no,75,0.792184,0,0,0.00503,0.004403,0.892124,0.099942,0,254587232,0.892282
64,Sequential,radix-k 2,1,1,yes,no,76,0.762188,0,0,0.005051,0.004696,0.866531,0.104347,0,269788656,0.866693
64,Sequential,radix-k 2,1,1,yes,no,77,0.6044,0,0,0.004675,0.002563,0.680395,0.075997,0,201601832,0.680555
64,Sequential,radix-k 2,1,1,yes,no,78,0.563774,0,0,0.004753,0.006169,0.663696,0.099927,0,281366376,0.663854
64,Sequential,radix-k 2,1,1,yes,no,79,0.613686,0,0,0.004752,0.006601,0.717538,0.103856,0,305930632,0.717697
64,Sequential,radix-k 2,1,1,yes,no,80,0.77225,0,0,0.005001,0.005154,0.872223,0.099975,0,280567704,0.872382
64,Sequential,radix-k 2,1,1,yes,no,81,0.759368,0,0,0.004799,0.009156,0.869382,0.110018,0,278006568,0.869542
64,Sequential,radix-k 2,1,1,yes,no,82,0.710242,0,0,0.004801,0.00458,0.811646,0.101405,0,269710376,0.811803
64,Sequential,radix-k 2,1,1,yes,no,83,0.737566,0,0,0.00492,0.005016,0.82634,0.088777,0,233933368,0.826497
64,Sequential,radix-k 2,1,1,yes,no,84,0.616337,0,0,0.004589,0.007221,0.717186,0.100854,0,293991048,0.717345
64,Sequential,radix-k 2,1,1,yes,no,85,0.695308,0,0,0.004825,0.005945,0.794823,0.099519,0,283436744,0.794982
64,Sequential,radix-k 2,1,1,yes,no,86,0.66009,0,0,0.004784,0.007484,0.767772,0.107685,0,302682856,0.767933
64,Sequential,radix-k 2,1,1,yes,no,87,0.585947,0,0,0.004629,0.007539,0.670965,0.08502,0,242798384,0.671124
64,Sequential,radix-k 2,1,1,yes,no,88,0.610248,0,0,0.004696,0.002871,0.688642,0.078397,0,211125792,0.6888
64,Sequential,radix-k 2,1,1,yes,no,89,0.783637,0,0,0.004922,0.006278,0.8915,0.107866,0,274438480,0.891659
64,Sequential,radix-k 2,1,1,yes,no,90,0.66604,0,0,0.004716,0.00804,0.769103,0.103065,0,278694568,0.769261
64,Sequential,radix-k 2,1,1,yes,no,91,0.637415,0,0,0.004804,0.00513,0.734078,0.096667,0,276328120,0.734237
64,Sequential,radix-k 2,1,1,yes,no,92,0.718418,0,0,0.004864,0.00378,0.811485,0.093068,0,264534048,0.811642
64,Sequential,radix-k 2,1,1,yes,no,93,0.778899,0,0,0.004884,0.005186,0.87943,0.100535,0,259153472,0.879588
64,Sequential,radix-k 2,1,1,yes,no,94,0.668402,0,0,0.004582,0.008032,0.762816,0.094417,0,279949760,0.762973
64,Sequential,radix-k 2,1,1,yes,no,95,0.400778,0,0,0.004444,0.007651,0.483297,0.082521,0,236003232,0.483456
64,Sequential,radix-k 2,1,1,yes,no,96,0.593569,0,0,0.004507,0.007903,0.689613,0.096045,0,278680872,0.689772
64,Sequential,radix-k 2,1,1,yes,no,97,0.624476,0,0,0.004666,0.003601,0.700758,0.076285,0,192586656,0.700918
64,Sequential,radix-k 2,1,1,yes,no,98,0.616205,0,0,0.004709,0.007211,0.715467,0.099265,0,278368328,0.715625
64,Sequential,radix-k 2,1,1,yes,no,99,0.62751,0,0,0.004574,0.008136,0.723512,0.096002,0,283247488,0.723669
64,Sequential,radix-k 2,1,1,yes,no,100,0.660784,0,0,0.004744,0.008008,0.755693,0.094911,0,277451768,0.755852
64,Sequential,radix-k 4,1,1,yes,no,0,0.578738,0,0,0.004596,0.00762,0.752783,0.174049,0,233008824,0.752951
64,Sequential,radix-k 4,1,1,yes,no,1,0.663739,0,0,0.004854,0.007824,0.744854,0.081116,0,217494312,0.745016
64,Sequential,radix-k 4,1,1,yes,no,2,0.472713,0,0,0.004469,0.007418,0.557651,0.084941,0,220261744,0.557812
64,Sequential,radix-k 4,1,1,yes,no,3,0.70813,0,0,0.00491,0.007337,0.789445,0.081315,0,211743944,0.789609
64,Sequential,radix-k 4,1,1,yes,no,4,0.743776,0,0,0.004692,0.007506,0.835242,0.091471,0,231794184,0.835403
64,Sequential,radix-k 4,1,1,yes,no,5,0.432111,0,0,0.004545,0.007119,0.513246,0.081137,0,232626840,0.513408
64,Sequential,radix-k 4,1,1,yes,no,6,0.703846,0,0,0.004698,0.008487,0.785931,0.082086,0,234076944,0.786093
64,Sequential,radix-k 4,1,1,yes,no,7,0.760226,0,0,0.004887,0.006959,0.853138,0.092915,0,239283384,0.853298
64,Sequential,radix-k 4,1,1,yes,no,8,0.692288,0,0,0.004911,0.009547,0.772214,0.079927,0,213243616,0.772377
64,Sequential,radix-k 4,1,1,yes,no,9,0.440059,0,0,0.004558,0.007117,0.523162,0.083106,0,211050840,0.523327
64,Sequential,radix-k 4,1,1,yes,no,10,0.786085,0,0,0.004843,0.009401,0.879558,0.093477,0,237890848,0.879718
64,Sequential,radix-k 4,1,1,yes,no,11,0.52152,0,0,0.004553,0.007332,0.598419,0.076902,0,227492864,0.59858
64,Sequential,radix-k 4,1,1,yes,no,12,0.693723,0,0,0.004844,0.003691,0.776362,0.08264,0,219007008,0.776522
64,Sequential,radix-k 4,1,1,yes,no,13,0.626376,0,0,0.004546,0.001868,0.701993,0.075618,0,198392616,0.702152
64,Sequential,radix-k 4,1,1,yes,no,14,0.511327,0,0,0.004483,0.007302,0.594281,0.082955,0,241568712,0.594445
64,Sequential,radix-k 4,1,1,yes,no,15,0.409169,0,0,0.004428,0.007231,0.481877,0.072712,0,212640136,0.482038
64,Sequential,radix-k 4,1,1,yes,no,16,0.510466,0,0,0.00447,0.000908,0.583187,0.072721,0,181442760,0.583349
64,Sequential,radix-k 4,1,1,yes,no,17,0.69838,0,0,0.004712,0.007525,0.78191,0.083532,0,249234640,0.782072
64,Sequential,radix-k 4,1,1,yes,no,18,0.419312,0,0,0.004458,0.007121,0.48778,0.068471,0,203620864,0.487942
64,Sequential,radix-k 4,1,1,yes,no,19,0.603097,0,0,0.004651,0.002398,0.671434,0.068337,0,169352960,0.671595
64,Sequential,radix-k 4,1,1,yes,no,20,0.610536,0,0,0.004766,0.006611,0.691694,0.081162,0,240311888,0.691853
64,Sequential,radix-k 4,1,1,yes,no,21,0.612566,0,0,0.004787,0.005594,0.691778,0.079217,0,225295800,0.691937
64,Sequential,radix-k 4,1,1,yes,no,22,0.660771,0,0,0.004798,0.006726,0.748006,0.08724,0,226854200,0.748168
64,Sequential,radix-k 4,1,1,yes,no,23,0.688015,0,0,0.00504,0.009075,0.769674,0.081662,0,221538040,0.769838
64,Sequential,radix-k 4,1,1,yes,no,24,0.745061,0,0,0.004643,0.001907,0.825337,0.080281,0,193971008,0.825499
64,Sequential,radix-k 4,1,1,yes,no,25,0.667192,0,0,0.004881,0.007917,0.747107,0.079921,0,219269832,0.747271
64,Sequential,radix-k 4,1,1,yes,no,26,0.419239,0,0,0.004429,0.00765,0.488684,0.06945,0,187737456,0.488848
64,Sequential,radix-k 4,1,1,yes,no,27,0.745822,0,0,0.004849,0.004984,0.838293,0.092473,0,235104656,0.838454
64,Sequential,radix-k 4,1,1,yes,no,28,0.733643,0,0,0.004909,0.004828,0.815962,0.08232,0,213098720,0.816123
64,Sequential,radix-k 4,1,1,yes,no,29,0.630221,0,0,0.004762,0.004371,0.719151,0.088933,0,243044024,0.719309
64,Sequential,radix-k 4,1,1,yes,no,30,0.71711,0,0,0.004862,0.006305,0.808797,0.091692,0,250727872,0.808957
64,Sequential,radix-k 4,1,1,yes,no,31,0.475616,0,0,0.004547,0.008128,0.551334,0.075722,0,194420720,0.551498
64,Sequential,radix-k 4,1,1,yes,no,32,0.590495,0,0,0.004517,0.007643,0.671344,0.08085,0,216799272,0.671507
64,Sequential,radix-k 4,1,1,yes,no,33,0.770092,0,0,0.00489,0.005805,0.856065,0.085977,0,218182904,0.856226
64,Sequential,radix-k 4,1,1,yes,no,34,0.645951,0,0,0.004816,0.005938,0.72351,0.077561,0,225101184,0.723671
64,Sequential,radix-k 4,1,1,yes,no,35,0.725532,0,0,0.004931,0.004704,0.810303,0.084776,0,214995608,0.810465
64,Sequential,radix-k 4,1,1,yes,no,36,0.574421,0,0,0.004717,0.003894,0.65841,0.083993,0,231582312,0.658571
64,Sequential,radix-k 4,1,1,yes,no,37,0.76242,0,0,0.004861,0.005574,0.852714,0.090298,0,238086544,0.852874
64,Sequential,radix-k 4,1,1,yes,no,38,0.49571,0,0,0.004486,0.006687,0.567458,0.07175,0,182210704,0.567621
64,Sequential,radix-k 4,1,1,yes,no,39,0.474592,0,0,0.00452,0.00627,0.545722,0.071134,0,187147424,0.545886
64,Sequential,radix-k 4,1,1,yes,no,40,0.600438,0,0,0.004734,0.007105,0.686227,0.085794,0,224881632,0.686389
64,Sequential,radix-k 4,1,1,yes,no,41,0.502393,0,0,0.004463,0.001312,0.577441,0.075049,0,193354576,0.577602
64,Sequential,radix-k 4,1,1,yes,no,42,0.447348,0,0,0.004434,0.007264,0.512852,0.065508,0,177774968,0.513013
64,Sequential,radix-k 4,1,1,yes,no,43,0.595149,0,0,0.004783,0.006948,0.680107,0.084964,0,219526128,0.680269
64,Sequential,radix-k 4,1,1,yes,no,44,0.601344,0,0,0.004734,0.006956,0.682966,0.081623,0,237280472,0.68313
64,Sequential,radix-k 4,1,1,yes,no,45,0.703166,0,0,0.004839,0.008012,0.790781,0.087619,0,250927208,0.790944
64,Sequential,radix-k 4,1,1,yes,no,46,0.71994,0,0,0.00479,0.008982,0.804032,0.084098,0,223475896,0.804196
